disp,load
9.10E-06,22.01304652
0.000197653,32.37066848
0.000446661,64.72480444
0.00062697,87.83395685
0.000944621,127.1152175
0.001116568,158.3401825
0.001168065,164.1149907
0.001262555,177.9857726
0.001588879,221.8994445
0.001751502,221.8366209
0.001983307,250.7205816
0.002103475,264.5814439
0.002369629,298.0878963
0.002464006,307.3229604
0.002679231,358.2331935
0.002962561,394.0508918
0.003014057,399.8257
0.003185778,421.7792295
0.003554982,469.1531572
0.00363227,479.5537637
0.003803934,499.1894343
0.003915542,513.0536031
0.004052885,529.2257114
0.004112997,537.315072
0.004164494,543.0898802
0.004224549,548.8613819
0.004276046,554.6361902
0.004327514,559.2520689
0.004377962,522.1464875
0.004427446,445.6373049
0.004467917,350.5885576
0.004508672,267.1291048
0.004670304,226.5037505
0.004912992,0.416619431
0.005084202,1.509418811
0.005452301,3.685098061
0.00588876,1.19860749
0.005948815,6.970109209
0.0060176,19.69188112
